source,target,letters,source_gender,target_gender
"Hamilton, Alexander","Swan, Caleb",61,M,M
"Washington, George","Parsons, Samuel Holden",60,M,M
"Washington, George","Lee, Henry Jr.",60,M,M
"Schuyler, Philip","Hamilton, Alexander",60,M,M
"Jefferson, Thomas","Carmichael, William",60,M,M
"Peyton, Craven","Jefferson, Thomas",60,M,M
"Lincoln, Levi","Jefferson, Thomas",60,M,M
"Warden, David Bailie","Jefferson, Thomas",60,M,M
"Adams, John","Adams, George Washington",60,M,M
"Stewart, Robert","Washington, George",59,M,M
"Dayton, Elias","Washington, George",59,M,M
"Lovell, James","Adams, Abigail Smith",59,M,F
"Hamilton, Alexander","Pickering, Timothy",59,M,M
"Pickering, Timothy","Hamilton, Alexander",59,M,M
"Hammond, George","Jefferson, Thomas",59,M,M
"Ogden, Aaron","Hamilton, Alexander",59,M,M
"Rodney, Caesar Augustus","Jefferson, Thomas",59,M,M
"Cabell, Joseph C.","Madison, James",59,M,M
"Lee, Richard Henry","Washington, George",58,M,M
"Washington, George","Forman, David",58,M,M
"Jefferson, Thomas","Steuben, Friedrich Wilhelm Ludolf Gerhard Augustin Baron [von]",58,M,M
"Madison, James","Livingston, Robert R.",58,M,M
"Duportail, Antoine-Jean-Louis Le Bègue de Presle","Washington, George",57,M,M
"Smith, William Stephens","Washington, George",57,M,M
"Jay, John","Jefferson, Thomas",57,M,M
"Muter, George","Jefferson, Thomas",57,M,M
"Knox, Henry","Lear, Tobias",57,M,M
"Rush, Richard","Madison, James",57,M,M
"Tufts, Cotton","Adams, John",56,M,M
"Jay, John","Hamilton, Alexander",56,M,M
"Hazen, Moses","Washington, George",56,M,M
"Willink, Wilhem & Jan (business)","Adams, John",56,M,M
"Jefferson, Thomas","Senate,",56,M,M
"Foronda, Valentin de","Madison, James",56,M,M
"Stephen, Adam","Washington, George",55,M,M
"Robert Cary & Company,","Washington, George",55,M,M
"Spotswood, Alexander","Washington, George",55,M,M
"Hamilton, Alexander","Morris, Robert",55,M,M
"Carrington, Edward","Madison, James",55,M,M
"Jefferson, Thomas","Hamilton, Alexander",55,M,M
"Leiper, Thomas","Jefferson, Thomas",55,M,M
"Adams, Thomas Boylston","Adams, John",55,M,M
"Appleton, Thomas","Madison, James",55,M,M
"Madison, James","Pinkney, William",55,M,M
"Erskine, David Montague","Madison, James",55,M,M
"Hewson, Mary Stevenson","Franklin, Benjamin",54,F,M
"Washington, George","Arnold, Benedict",54,M,M
"Hand, Edward","Washington, George",54,M,M
"Jay, John","Franklin, Benjamin",54,M,M
"Thaxter, John","Adams, Abigail Smith",54,M,F
"Jefferson, Thomas","Muter, George",54,M,M
"Madison, James (Reverend)","Madison, James",54,M,M
"Jefferson, Thomas","Latrobe, Benjamin Henry",54,M,M
"Hamilton, Alexander","Rice, Nathan",54,M,M
"Duane, William","Jefferson, Thomas",54,M,M
"Madison, James","Cutts, Richard",54,M,M
"Washington, George","Lee, Henry",53,M,M
"Ward, Artemas","Washington, George",53,M,M
"Neufville, Jean de & Fils (business)","Franklin, Benjamin",53,M,M
"Steuben, Friedrich Wilhelm Ludolf Gerhard Augustin Baron [von]","Jefferson, Thomas",53,M,M
"Barclay, Thomas","Adams, John",53,M,M
"Morris, Gouverneur","Jefferson, Thomas",53,M,M
"Delany, Sharp","Hamilton, Alexander",53,M,M
"Adams, John","Marshall, John",53,M,M
"Franklin, Benjamin","Dumas, Charles-Guillaume-Frédéric",52,M,M
"Vaughan, Benjamin","Franklin, Benjamin",52,M,M
"Staphorst, Nicolaas & Jacob van (business)","Adams, John",52,M,M
"Lafayette, Marie-Joseph-Paul-Yves-Roch-Gilbert du Motier marquis de","Madison, James",52,M,M
"Jefferson, Thomas","Trumbull, John",52,M,M
"Commissioners for the District of Columbia,","Washington, George",52,NA,M
"Genet, Edmond Charles","Jefferson, Thomas",52,M,M
"Washington, George","Thornton, William",52,M,M
"Washington, George","Moylan, Stephen",51,M,M
"Washington, George","Steuben, Friedrich Wilhelm Ludolf Gerhard Augustin Baron [von]",51,M,M
"Jefferson, Thomas","Huntington, Samuel",51,M,M
"Randolph, Thomas Mann Jr.","Jefferson, Thomas",51,M,M
"Hamilton, Alexander","Delany, Sharp",51,M,M
"Jefferson, Thomas","Hammond, George",51,M,M
"Swan, Caleb","Hamilton, Alexander",51,M,M
"Claiborne, William Charles Coles","Madison, James",51,M,M
"Franklin, Benjamin","Galloway, Joseph",50,M,M
"Washington, George","Peters, Richard",50,M,M
"Jefferson, Thomas","Page, John",50,M,M
"Franklin, Benjamin","Hartley, David",50,M,M
"Adams, John","Adams, Thomas Boylston",50,M,M
"Adams, John","Adams, Charles",50,M,M
"Malcom, William","Washington, George",50,M,M
"Bondfield, John","Jefferson, Thomas",50,M,M
"Rush, Richard","Adams, John",50,M,M
"Adams, John","Rush, Richard",50,M,M
"Franklin, Benjamin","Franklin, William",49,M,M
"Fairfax, Bryan","Washington, George",49,M,M
"Franklin, Benjamin","Williams, Jonathan Jr.",49,M,M
"Cooke, Nicholas","Washington, George",49,M,M
"Washington, George","Cooke, Nicholas",49,M,M
"Washington, George","Lee, Charles",49,M,M
"Claiborne, Richard","Jefferson, Thomas",49,M,M
"Hamilton, Alexander","King, Rufus",49,M,M
"Whitting, Anthony","Washington, George",49,M,M
"Taylor, Hubbard","Madison, James",49,M,M
"Scott, Gustavus","Washington, George",49,M,M
"Wilkinson, James","Jefferson, Thomas",49,M,M
"Clark, Daniel","Madison, James",49,M,M
"Gray, Vincent","Madison, James",49,M,M
"Jefferson, Thomas","Jones & Howell,",49,M,M
"Gilmer, Francis Walker","Jefferson, Thomas",49,M,M
"Crowninshield, Benjamin W.","Madison, James",49,M,M
"Adams, Abigail Smith","Warren, Mercy Otis",48,F,F
"Huntington, Jedediah","Washington, George",48,M,M
"Digges, Thomas","Adams, John",48,M,M
"Schuyler, Philip John","Washington, George",48,M,M
"Maury, James","Jefferson, Thomas",48,M,M
"Muse, Battaile","Washington, George",48,M,M
"Smith, William Stephens","Adams, John",48,M,M
"Cunningham, William","Adams, John",48,M,M
"Parker, Thomas","Hamilton, Alexander",48,M,M
"Barnet, Isaac Cox","Madison, James",48,M,M
"Jefferson, Thomas","Cooper, Thomas",48,M,M
"Harris, Levett","Madison, James",48,M,M
"Adams, John","Adams, Louisa Catherine Johnson",48,M,F
"Wharton, Samuel","Franklin, Benjamin",47,M,M
"Washington, George","Johnson, Thomas",47,M,M
"Ingenhousz, Jan","Franklin, Benjamin",47,M,M
"Thaxter, John","Adams, John",47,M,M
"Washington, George","Morris, Gouverneur",47,M,M
"Carmichael, William","Franklin, Benjamin",47,M,M
"Jefferson, Thomas","Randolph, Edmund",47,M,M
"Hubbard, Nicholas","Hamilton, Alexander",47,M,M
"Van Staphorst, Jacob","Hamilton, Alexander",47,M,M
"Willink, Jan","Hamilton, Alexander",47,M,M
"Willink, Wilhelm","Hamilton, Alexander",47,M,M
"Hamilton, Alexander","Pinckney, Charles Cotesworth",47,M,M
"Jefferson, Thomas","Dufief, Nicolas Gouin",47,M,M
"Vanderhorst, Elias","Madison, James",47,M,M
"Jefferson, Thomas","Gelston, David",47,M,M
"Madison, James","Merry, Anthony",47,M,M
"Tufts, Cotton","Adams, Abigail Smith",46,M,F
"Cooper, Samuel","Franklin, Benjamin",46,M,M
"Hamilton, Alexander","Jay, John",46,M,M
"Bondfield, John","American Commissioners,",46,M,M
"Franklin, Benjamin","Sartine, Antoine-Raymond-Gualbert-Gabriel de",46,M,M
"Gates, Horatio","Jefferson, Thomas",46,M,M
"Van Staphorst, Nicholaas","Hamilton, Alexander",46,M,M
"Washington, George","Whitting, Anthony",46,M,M
"Jefferson, Thomas","Patterson, Robert",46,M,M
"Newton, Thomas","Madison, James",46,M,M
"Jefferson, Thomas","Yancey, Joel",46,M,M
"Hall, David","Franklin, Benjamin",45,M,M
"Knox, Henry","Adams, John",45,M,M
"Deane, Silas","Franklin, Benjamin",45,M,M
"Washington, George","Sheldon, Elisha",45,M,M
"Brodhead, Daniel","Washington, George",45,M,M
"Washington, George","Washington, George Augustine",45,M,M
"Alexander, William Lord Stirling","Washington, George",45,M,M
"Newenham, Edward","Washington, George",45,M,M
"Washington, George","Washington, Bushrod",45,M,M
"Jefferson, Thomas","Stuart, Archibald",45,M,M
"Willink, Jan","Adams, John",45,M,M
"Willink, Wilhelm","Adams, John",45,M,M
"Jefferson, Thomas","Pinckney, Thomas",45,M,M
"Clinton, DeWitt","Madison, James",45,M,M
"Woodford, William","Washington, George",44,M,M
"Warren, Mercy Otis","Adams, John",44,F,M
"Adams, John","Adams, John",44,M,M
"Washington, George","Wadsworth, Jeremiah",44,M,M
"Shreve, Israel","Washington, George",44,M,M
"Washington, George","Scott, Charles",44,M,M
"Washington, George","Hazen, Moses",44,M,M
"Bondfield, John","Lee, Arthur",44,M,M
"Washington, George","Clinton, Henry",44,M,M
"Hodgson, William","Franklin, Benjamin",44,M,M
"Paine, Thomas","Jefferson, Thomas",44,M,M
"Washington, George","Commissioners for the District of Columbia,",44,M,NA
