source,target,letters
"Hanson, John","Washington, George",59
"Eppes, Mary Jefferson","Jefferson, Thomas",59
"Jefferson, Thomas","Waterhouse, Benjamin",59
"Jefferson, Thomas","Yznardi, Joseph Sr.",59
"Clark, Daniel","Madison, James",59
"Claiborne, William Charles Coles","Madison, James",59
"Adams, John","Tudor, William",58
"Carmichael, William","Franklin, Benjamin",58
"Hamilton, Alexander","Wadsworth, Jeremiah",58
"Franklin, Benjamin","Landais, Pierre",58
"Hopkinson, Francis","Jefferson, Thomas",58
"Gelston, David","Madison, James",58
"Jefferson, Thomas","Leitch, James",58
"Franklin, Benjamin","Norris, Isaac",57
"Cushing, Thomas","Franklin, Benjamin",57
"Adams, John","Ward, Joseph",57
"Coffyn, Francis","Franklin, Benjamin",57
"Ellicott, Andrew","Jefferson, Thomas",57
"Dearborn, Henry","Madison, James",57
"Harris, Levett","Madison, James",57
"Girardin, Louis Hue","Jefferson, Thomas",57
"Crawford, William Harris","Madison, James",57
"Jefferson, Thomas","Smith, John",56
"Jefferson, Thomas","Senate,",56
"Madison, James","Smith, Samuel",56
"Madison, James","Newton, Thomas",56
"Carey, Mathew","Madison, James",56
"Foronda, Valentin de","Madison, James",56
"Allen, William","Madison, James",56
"Mercer, Hugh","Washington, George",55
"Fitzgerald, John","Washington, George",55
"Adams, John","Washington, George",55
"Deane, Silas","Franklin, Benjamin",55
"Greene, William","Washington, George",55
"Adams, John","La Lande & Fynje, de (business)",55
"Lewis, Robert","Washington, George",55
"Jefferson, Thomas","Smith, William Stephens",55
"Adams, John","Hamilton, Alexander",55
"Hamilton, Alexander","Tousard, Lewis",55
"Jackson, John G.","Madison, James",55
"Appleton, Thomas","Madison, James",55
"Clinton, DeWitt","Madison, James",55
"Madison, James","Smith, Robert",55
"Delaplaine, Joseph","Jefferson, Thomas",55
"Franklin, Benjamin","Washington, George",54
"Adams, John","Knox, Henry",54
"Adams, John","McKean, Thomas",54
"Hamilton, Alexander","Lee, Henry",54
"Board of War,","Jefferson, Thomas",54
"Jefferson, Thomas","Lambert, William",54
"Clinton, DeWitt","Jefferson, Thomas",54
"Jefferson, Thomas","Randolph, Thomas Eston",54
"Dunglison, Robley","Madison, James",54
"Cocke, John Hartwell","Madison, James",54
"Colden, Cadwallader","Franklin, Benjamin",53
"Dandridge, Bartholomew Jr.","Washington, George",53
"Morgan, Daniel","Washington, George",53
"Varick, Richard","Washington, George",53
"Clark, John Jr.","Washington, George",53
"Franklin, Benjamin","Neufville, Jean de & Fils (business)",53
"Washington, George","Willett, Marinus",53
"Adams, John Quincy","Johnson, Louisa Catherine",53
"Briggs, Isaac","Jefferson, Thomas",53
"Adams, John","Carey, Mathew",53
"Stoddert, Benjamin","Washington, George",52
"Jefferson, Thomas","Lee, William",52
"Jefferson, Thomas","Jones, John Paul",52
"Adams, Abigail Smith","Smith, William Stephens",52
"Adams, John","Van Staphorst, Jacob",52
